# AUTO-GENERATED. Edit metadata/analysis_questions.tsv instead.
comparison_id	source_question_id	display_question_id	output_alias	report_title	layer_scope	contrast_axis	analysis_mode	analysis_unit	stat_level	group_var	ident_1	ident_2	subset_column	subset_value	aggregation_group_var	composition_group_var	batch_var	enabled	min_biological_replicates	force_exploratory	min_cells_per_group	logfc_threshold	produces_gene_program	gene_program_role	notes	min_cells_override	min_samples_override	total_umi_override	single_sample_frac_override
C04_GC_subtypes_pairwise_f5__eGC_vs_lGC_f5	C04_GC_subtypes_pairwise_f5	C04_GC_subtypes_pairwise_f5	C04_GC_subtypes_pairwise_f5	GC亚群pairwise in f5	GC_subcluster	pairwise	subtype_pairwise	whole_layer	cell_level_exploratory	cell_subtype	eGC	lGC	group_id	f5			batch	yes	2	no	3	0	yes	subtype_pairwise_deg	GC subtype pairwise within f5	-	-	-	-
C04_GC_subtypes_pairwise_f5__rgGC_vs_lGC_f5	C04_GC_subtypes_pairwise_f5	C04_GC_subtypes_pairwise_f5	C04_GC_subtypes_pairwise_f5	GC亚群pairwise in f5	GC_subcluster	pairwise	subtype_pairwise	whole_layer	cell_level_exploratory	cell_subtype	rgGC	lGC	group_id	f5			batch	yes	2	no	3	0	yes	subtype_pairwise_deg	GC subtype pairwise within f5	-	-	-	-
D01_GC_stage_DEG__GC_syf_vs_f5	D01_GC_stage_DEG	D01_GC_stage_DEG	D01_GC_stage_DEG	GC大类syf vs f5	panorama	contrast_only	condition_within_type	within_cell_type	pseudobulk_formal_if_replicates	group_id	syf	f5	cell_type	GC	cell_type		batch	yes	2	no	3	0	yes	condition_deg	formal DEG priority; GC cells only	-	-	-	-
D02_TC_stage_DEG__TC_syf_vs_f5	D02_TC_stage_DEG	D02_TC_stage_DEG	D02_TC_stage_DEG	TC大类syf vs f5	panorama	contrast_only	condition_within_type	within_cell_type	pseudobulk_formal_if_replicates	group_id	syf	f5	cell_type	TC	cell_type		batch	yes	2	no	3	0	yes	condition_deg	formal DEG priority; TC cells only	-	-	-	-
D03_GC_subtype_stage_DEG__pGC_syf_vs_f5	D03_GC_subtype_stage_DEG	D03_GC_subtype_stage_DEG	D03_GC_subtype_stage_DEG	每个GC亚群syf vs f5	GC_subcluster	contrast_only	condition_within_type	within_cell_subtype	pseudobulk_formal_if_replicates	group_id	syf	f5	cell_subtype	pGC	cell_subtype		batch	yes	2	no	3	0	yes	condition_deg	formal DEG priority; pGC only	-	-	-	-
D03_GC_subtype_stage_DEG__eGC_syf_vs_f5	D03_GC_subtype_stage_DEG	D03_GC_subtype_stage_DEG	D03_GC_subtype_stage_DEG	每个GC亚群syf vs f5	GC_subcluster	contrast_only	condition_within_type	within_cell_subtype	pseudobulk_formal_if_replicates	group_id	syf	f5	cell_subtype	eGC	cell_subtype		batch	yes	2	no	3	0	yes	condition_deg	formal DEG priority; eGC only	-	-	-	-
D03_GC_subtype_stage_DEG__rgGC_syf_vs_f5	D03_GC_subtype_stage_DEG	D03_GC_subtype_stage_DEG	D03_GC_subtype_stage_DEG	每个GC亚群syf vs f5	GC_subcluster	contrast_only	condition_within_type	within_cell_subtype	pseudobulk_formal_if_replicates	group_id	syf	f5	cell_subtype	rgGC	cell_subtype		batch	yes	2	no	3	0	yes	condition_deg	formal DEG priority; rgGC only	-	-	-	-
D03_GC_subtype_stage_DEG__lGC_syf_vs_f5	D03_GC_subtype_stage_DEG	D03_GC_subtype_stage_DEG	D03_GC_subtype_stage_DEG	每个GC亚群syf vs f5	GC_subcluster	contrast_only	condition_within_type	within_cell_subtype	pseudobulk_formal_if_replicates	group_id	syf	f5	cell_subtype	lGC	cell_subtype		batch	yes	2	no	3	0	yes	condition_deg	formal DEG priority; lGC only	-	-	-	-
D05_panorama_global_stage__all_cells_syf_vs_f5	D05_panorama_global_stage	D05_panorama_global_stage	D05_panorama_global_stage	panorama整体syf vs f5 global context	panorama	global_stage_context	global_context	whole_layer	pseudobulk_formal_if_replicates	group_id	syf	f5			all_cells		batch	yes	2	no	3	0	yes	global_context	global stage signature across all cells	-	-	-	-
E01_GC_subtype_compo__composition_GC_subtypes	E01_GC_subtype_compo	E01_GC_subtype_compo	E01_GC_subtype_compo	GC 4亚群比例syf vs f5	panorama	composition	composition	sample_level	composition_formal_if_replicates	group_id	syf	f5	cell_subtype	pGC,eGC,rgGC,lGC		cell_subtype	batch	yes	2	no	3	0	no	none	GC subtype composition; sample-level proportions	-	-	-	-
E03_layer_compo__composition_GC_TC	E03_layer_compo	E03_scRNA_GC_TC_capture_balance	E03_scRNA_GC_TC_capture_balance	scRNA GC/TC captured-cell balance QC	panorama	qc_composition	qc_composition	sample_level	composition_formal_if_replicates	group_id	syf	f5	cell_type	GC,TC		cell_type	batch	yes	2	no	3	0	no	qc_only	QC-only broad GC-vs-TC capture balance; no biological abundance conclusion	-	-	-	-
